AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
278,122,E. Washington St.,Ann Arbor,,42.280282,-83.747555,122 E. Washington St.
279,1220,E. Washington St.,Ann Arbor,,42.28058,-83.73689,1220 E. Washington St.
280,21712,E. Washington St.,Ann Arbor,,,,217 1/2 E. Washington St.
281,320,E. Washington St.,Ann Arbor,,,,320 E. Washington St.
282,322,E. Washington St.,Ann Arbor,,,,322 E. Washington St.
571,418,E. Washington St.,Ann Arbor,,,,418 E. Washington St.
572,422,E. Washington St.,Ann Arbor,,,,422 E. Washington St.
1124,910,E. Washington St.,Ann Arbor,,,,910 E. Washington St.
2198,533,E. Washington St.,Ann Arbor,,,,533 E. Washington St.
573,555,E. William St.,Ann Arbor,,,,555 E. William St.
1126,1908,E. William St.,Ann Arbor,,,,1908 E. William St.
1127,318,E. William St.,Ann Arbor,,,,318 E. William St.
1128,430,E. William St.,Ann Arbor,,,,430 E. William St.
1129,44,E. William St.,Ann Arbor,,42.277972,-83.748691,44 E. William St.
1130,51312,E. William St.,Ann Arbor,,,,513 1/2 E. William St.
1131,538,E. William St.,Ann Arbor,,,,538 E. William St.
1132,601,E. William St.,Ann Arbor,,,,601 E. William St.
1130.1,518,E. William St.,Ann Arbor,,,,518 E. William St.
1125,555,E. William St. ,Ann Arbor,,,,555 E. William St. 
8,,East Quad,Ann Arbor,dorm,42.273093,-83.734909,East Quad
2023,420,East Quad - Anderson,Ann Arbor,,,,420 East Quad - Anderson
8.1,,East Quad - Anderson,Ann Arbor,dorm,,,East Quad - Anderson
8.2,,East Quad - Cooley,Ann Arbor,dorm,,,East Quad - Cooley
8.3,,East Quad - Greene,Ann Arbor,dorm,,,East Quad - Greene
